product_id,product_name,category_id,category_name,brand,cost_price,launch_date
P00027,蒙牛 纯牛奶整箱 1.8L,C04,食品生鲜,蒙牛,209.44,2025-06-23
P00028,薇诺娜 空气蜜粉 50ml,C05,美妆个护,薇诺娜,30.62,2025-05-06
P00029,安踏 运动连帽卫衣 L码,C03,服饰鞋包,安踏,434.44,2023-01-23
P00030,格力 智能电饭煲 5L,C02,家用电器,格力,2255.22,2025-01-13
P00031,青蛙王子 儿童安全座椅 66cm,C06,母婴玩具,青蛙王子,52.15,2025-10-25
P00032,伊利 食用调和油 250ml*12,C04,食品生鲜,伊利,73.88,2023-12-12
P00033,Apple Pro系列 12+256G,C01,手机数码,Apple,4772.18,2023-06-29
P00034,TCL 高速破壁机 4L,C02,家用电器,TCL,1838.04,2024-06-10
P00035,阿迪达斯 户外折叠椅 41码,C08,运动户外,阿迪达斯,151.82,2023-03-27
P00036,九阳 智能电饭煲 501L,C02,家用电器,九阳,4922.13,2025-06-17
P00037,太平鸟 通勤双肩包 L码,C03,服饰鞋包,太平鸟,470.21,2025-05-31
P00038,小米 Pro系列 12+256G,C01,手机数码,小米,6300.48,2023-05-21
P00039,自然堂 双抗精华 30ml,C05,美妆个护,自然堂,117.07,2025-06-17
P00040,金龙鱼 纯牛奶整箱 750ml,C04,食品生鲜,金龙鱼,235.21,2024-05-01
P00041,好孩子 安抚玩偶 1L,C06,母婴玩具,好孩子,166.81,2024-03-07
P00042,美的 变频挂机空调 1.5匹,C02,家用电器,美的,4367.17,2024-10-23
P00043,乐高 儿童安全座椅 66cm,C06,母婴玩具,乐高,435.33,2025-11-28
P00044,九牧 实木双人床 60cm,C07,家居家装,九牧,2986.23,2024-03-01
P00045,Apple X系列 512GB,C01,手机数码,Apple,1605.47,2025-09-06
P00046,森马 女士针织衫 均码,C03,服饰鞋包,森马,110.53,2023-07-11
P00047,九牧 实木双人床 三人位,C07,家居家装,九牧,4448.36,2023-11-14
P00048,自然堂 轻薄粉底液 100ml,C05,美妆个护,自然堂,310.24,2025-01-23
P00049,金龙鱼 食用调和油 1L,C04,食品生鲜,金龙鱼,124.03,2026-03-14
P00050,海澜之家 女士针织衫 XXL码,C03,服饰鞋包,海澜之家,146.63,2025-02-07
P00051,机械工业出版社 计算机专业书 大字版,C09,图书文娱,机械工业出版社,55.25,2023-03-28
P00052,太平鸟 通勤双肩包 L码,C03,服饰鞋包,太平鸟,285.71,2025-08-27
P00053,九阳 变频挂机空调 501L,C02,家用电器,九阳,4837.51,2025-07-16
P00054,李宁 防风冲锋衣 40码,C08,运动户外,李宁,821.50,2023-01-21
P00055,李宁 男士休闲夹克 L码,C03,服饰鞋包,李宁,266.10,2023-07-28
P00056,费雪 儿童安全座椅 73cm,C06,母婴玩具,费雪,1280.39,2026-02-21
P00057,太平鸟 通勤双肩包 均码,C03,服饰鞋包,太平鸟,335.70,2024-08-24
P00058,欧莱雅 轻薄粉底液 正装,C05,美妆个护,欧莱雅,52.46,2026-04-04
P00059,3M 全包围汽车脚垫 双口版,C10,汽车用品,3M,664.99,2024-07-29
P00060,太平鸟 男士休闲夹克 S码,C03,服饰鞋包,太平鸟,158.20,2024-09-19
